Photon Energy (MeV)	Coherent Scattering (cm^2/g)	Incoherent Scattering (cm^2/g)	Photoelectric Absorption (cm^2/g)	Total Attenuation (cm^2/g) With Coherent Scattering	Total Attenuation (cm^2/g) Without Coherent Scattering								
1.00E-03	1.36E+00	1.04E-02	3.61E+03	3.61E+03	3.61E+03								
1.50E-03	1.25E+00	2.12E-02	1.19E+03	1.19E+03	1.19E+03								 
2.00E-03	1.12E+00	3.34E-02	5.27E+02	5.28E+02	5.27E+02								
3.00E-03	8.64E-01	5.75E-02	1.62E+02	1.63E+02	1.62E+02								
3.20E-03	8.19E-01	6.20E-02	1.33E+02	1.34E+02	1.33E+02								
3.20E-03	8.19E-01	6.20E-02	1.48E+02	1.49E+02	1.48E+02								
4.00E-03	6.65E-01	7.77E-02	7.75E+01	7.82E+01	7.76E+01								
5.00E-03	5.22E-01	9.33E-02	3.99E+01	4.05E+01	3.99E+01								
6.00E-03	4.21E-01	1.05E-01	2.30E+01	2.35E+01	2.31E+01								
8.00E-03	2.95E-01	1.21E-01	9.56E+00	9.97E+00	9.68E+00								
1.00E-02	2.23E-01	1.32E-01	4.79E+00	5.15E+00	4.93E+00								
1.50E-02	1.32E-01	1.47E-01	1.34E+00	1.62E+00	1.49E+00								
2.00E-02	8.76E-02	1.56E-01	5.39E-01	7.82E-01	6.94E-01								
3.00E-02	4.63E-02	1.63E-01	1.46E-01	3.55E-01	3.09E-01								
4.00E-02	2.83E-02	1.63E-01	5.75E-02	2.49E-01	2.21E-01								
5.00E-02	1.91E-02	1.61E-01	2.78E-02	2.08E-01	1.89E-01								
6.00E-02	1.37E-02	1.59E-01	1.53E-02	1.88E-01	1.74E-01								
8.00E-02	8.04E-03	1.52E-01	5.96E-03	1.66E-01	1.58E-01								
1.00E-01	5.26E-03	1.46E-01	2.87E-03	1.54E-01	1.49E-01								
