Photon Energy (MeV)	Coherent Scattering (cm^2/g)	Incoherent Scattering (cm^2/g)	Photoelectric Absorption (cm^2/g)	Total Attenuation (cm^2/g) With Coherent Scattering	Total Attenuation (cm^2/g) Without Coherent Scattering								
1.00E-03	4.30E+00	9.82E-03	5.99E+03	5.99E+03	5.99E+03
1.04E-03	4.28E+00	1.04E-02	5.52E+03	5.53E+03	5.52E+03
1.07E-03	4.26E+00	1.10E-02	5.10E+03	5.10E+03	5.10E+03
1.07E-03	4.26E+00	1.10E-02	5.23E+03	5.23E+03	5.23E+03
1.50E-03	4.04E+00	1.91E-02	2.35E+03	2.35E+03	2.35E+03
2.00E-03	3.75E+00	2.92E-02	1.15E+03	1.15E+03	1.15E+03
3.00E-03	3.20E+00	4.86E-02	4.03E+02	4.06E+02	4.03E+02
3.61E-03	2.90E+00	5.89E-02	2.47E+02	2.50E+02	2.48E+02
3.61E-03	2.90E+00	5.89E-02	3.73E+02	3.76E+02	3.73E+02
4.00E-03	2.73E+00	6.48E-02	2.86E+02	2.88E+02	2.86E+02
4.56E-03	2.51E+00	7.23E-02	2.03E+02	2.05E+02	2.03E+02
4.56E-03	2.51E+00	7.23E-02	3.92E+02	3.95E+02	3.92E+02
4.70E-03	2.46E+00	7.41E-02	3.65E+02	3.68E+02	3.66E+02
4.85E-03	2.41E+00	7.59E-02	3.41E+02	3.43E+02	3.41E+02
4.85E-03	2.41E+00	7.59E-02	4.28E+02	4.31E+02	4.29E+02
5.00E-03	2.36E+00	7.76E-02	4.02E+02	4.05E+02	4.02E+02
5.19E-03	2.29E+00	7.96E-02	3.65E+02	3.68E+02	3.65E+02
5.19E-03	2.29E+00	7.96E-02	4.10E+02	4.12E+02	4.10E+02
6.00E-03	2.05E+00	8.76E-02	2.84E+02	2.86E+02	2.84E+02
8.00E-03	1.60E+00	1.02E-01	1.32E+02	1.34E+02	1.33E+02
1.00E-02	1.28E+00	1.12E-01	7.27E+01	7.41E+01	7.28E+01
1.50E-02	8.33E-01	1.28E-01	2.39E+01	2.49E+01	2.40E+01
2.00E-02	5.87E-01	1.37E-01	1.07E+01	1.14E+01	1.08E+01
3.00E-02	3.31E-01	1.46E-01	3.39E+00	3.86E+00	3.53E+00
3.32E-02	2.84E-01	1.47E-01	2.54E+00	2.97E+00	2.69E+00
3.32E-02	2.84E-01	1.47E-01	1.37E+01	1.42E+01	1.39E+01
4.00E-02	2.14E-01	1.49E-01	8.40E+00	8.76E+00	8.55E+00
5.00E-02	1.51E-01	1.49E-01	4.63E+00	4.93E+00	4.78E+00
6.00E-02	1.13E-01	1.48E-01	2.81E+00	3.07E+00	2.95E+00
8.00E-02	6.89E-02	1.44E-01	1.26E+00	1.47E+00	1.40E+00
1.00E-01	4.66E-02	1.40E-01	6.69E-01	8.55E-01	8.09E-01
