Photon Energy (MeV)	Coherent Scattering (cm^2/g)	Incoherent Scattering (cm^2/g)	Photoelectric Absorption (cm^2/g)	Total Attenuation (cm^2/g) With Coherent Scattering	Total Attenuation (cm^2/g) Without Coherent Scattering								
1.00E-03	2.26E+00	1.43E-02	1.18E+03	1.19E+03	1.18E+03
1.50E-03	2.04E+00	2.48E-02	4.00E+02	4.02E+02	4.00E+02
1.56E-03	2.02E+00	2.59E-02	3.60E+02	3.62E+02	3.60E+02
1.56E-03	2.02E+00	2.59E-02	3.96E+03	3.96E+03	3.96E+03
2.00E-03	1.84E+00	3.38E-02	2.26E+03	2.26E+03	2.26E+03
3.00E-03	1.52E+00	4.73E-02	7.87E+02	7.88E+02	7.87E+02
4.00E-03	1.30E+00	5.81E-02	3.59E+02	3.61E+02	3.59E+02
5.00E-03	1.12E+00	6.79E-02	1.92E+02	1.93E+02	1.92E+02
6.00E-03	9.64E-01	7.70E-02	1.14E+02	1.15E+02	1.14E+02
8.00E-03	7.23E-01	9.29E-02	4.95E+01	5.03E+01	4.96E+01
1.00E-02	5.51E-01	1.06E-01	2.56E+01	2.62E+01	2.57E+01
1.50E-02	3.14E-01	1.27E-01	7.52E+00	7.96E+00	7.64E+00
2.00E-02	2.05E-01	1.37E-01	3.10E+00	3.44E+00	3.24E+00
3.00E-02	1.10E-01	1.46E-01	8.72E-01	1.13E+00	1.02E+00
4.00E-02	6.86E-02	1.49E-01	3.50E-01	5.68E-01	5.00E-01
5.00E-02	4.68E-02	1.50E-01	1.72E-01	3.68E-01	3.21E-01
6.00E-02	3.39E-02	1.48E-01	9.56E-02	2.78E-01	2.44E-01
8.00E-02	2.01E-02	1.44E-01	3.78E-02	2.02E-01	1.82E-01
1.00E-01	1.32E-02	1.39E-01	1.84E-02	1.70E-01	1.57E-01
