Photon Energy (MeV)	Coherent Scattering (cm^2/g)	Incoherent Scattering (cm^2/g)	Photoelectric Absorption (cm^2/g)	Total Attenuation (cm^2/g) With Coherent Scattering	Total Attenuation (cm^2/g) Without Coherent Scattering								
1.00E-03	8.49E+00	5.30E-03	9.23E+03	9.23E+03	9.23E+03
1.03E-03	8.46E+00	5.55E-03	8.64E+03	8.65E+03	8.64E+03
1.07E-03	8.43E+00	5.82E-03	8.09E+03	8.10E+03	8.09E+03
1.07E-03	8.43E+00	5.82E-03	8.33E+03	8.34E+03	8.33E+03
1.07E-03	8.43E+00	5.85E-03	8.27E+03	8.28E+03	8.27E+03
1.07E-03	8.42E+00	5.87E-03	8.22E+03	8.23E+03	8.22E+03
1.07E-03	8.42E+00	5.87E-03	8.38E+03	8.39E+03	8.38E+03
1.14E-03	8.36E+00	6.44E-03	7.32E+03	7.33E+03	7.32E+03
1.22E-03	8.29E+00	7.06E-03	6.39E+03	6.40E+03	6.39E+03
1.22E-03	8.29E+00	7.06E-03	6.55E+03	6.56E+03	6.55E+03
1.50E-03	8.02E+00	9.43E-03	4.12E+03	4.13E+03	4.12E+03
2.00E-03	7.51E+00	1.37E-02	2.11E+03	2.11E+03	2.11E+03
3.00E-03	6.53E+00	2.20E-02	7.81E+02	7.88E+02	7.81E+02
4.00E-03	5.69E+00	2.94E-02	3.78E+02	3.84E+02	3.78E+02
4.56E-03	5.30E+00	3.30E-02	2.70E+02	2.76E+02	2.70E+02
4.56E-03	5.30E+00	3.30E-02	5.13E+02	5.18E+02	5.13E+02
4.70E-03	5.20E+00	3.39E-02	4.78E+02	4.83E+02	4.78E+02
4.85E-03	5.10E+00	3.49E-02	4.46E+02	4.51E+02	4.46E+02
4.85E-03	5.10E+00	3.49E-02	5.58E+02	5.64E+02	5.58E+02
5.00E-03	4.99E+00	3.58E-02	5.25E+02	5.30E+02	5.25E+02
5.01E-03	4.98E+00	3.58E-02	5.21E+02	5.26E+02	5.21E+02
5.01E-03	4.98E+00	3.58E-02	7.46E+02	7.51E+02	7.46E+02
5.10E-03	4.93E+00	3.63E-02	7.14E+02	7.18E+02	7.14E+02
5.19E-03	4.87E+00	3.69E-02	6.83E+02	6.88E+02	6.83E+02
5.19E-03	4.87E+00	3.69E-02	7.40E+02	7.45E+02	7.40E+02
5.27E-03	4.82E+00	3.74E-02	7.11E+02	7.15E+02	7.11E+02
5.36E-03	4.77E+00	3.78E-02	6.82E+02	6.87E+02	6.82E+02
5.36E-03	4.77E+00	3.78E-02	7.87E+02	7.92E+02	7.87E+02
5.53E-03	4.67E+00	3.88E-02	7.27E+02	7.31E+02	7.27E+02
5.71E-03	4.57E+00	3.98E-02	6.71E+02	6.76E+02	6.71E+02
5.71E-03	4.57E+00	3.98E-02	7.22E+02	7.26E+02	7.22E+02
6.00E-03	4.41E+00	4.13E-02	6.40E+02	6.45E+02	6.41E+02
8.00E-03	3.50E+00	5.09E-02	3.04E+02	3.07E+02	3.04E+02
1.00E-02	2.84E+00	5.92E-02	1.68E+02	1.71E+02	1.68E+02
1.50E-02	1.87E+00	7.52E-02	5.62E+01	5.82E+01	5.63E+01
2.00E-02	1.34E+00	8.58E-02	2.54E+01	2.69E+01	2.55E+01
3.00E-02	7.63E-01	9.83E-02	8.19E+00	9.05E+00	8.28E+00
3.32E-02	6.58E-01	1.01E-01	6.16E+00	6.92E+00	6.26E+00
3.32E-02	6.58E-01	1.01E-01	2.05E+01	2.12E+01	2.06E+01
3.46E-02	6.19E-01	1.02E-01	1.84E+01	1.91E+01	1.85E+01
3.60E-02	5.82E-01	1.03E-01	1.65E+01	1.72E+01	1.66E+01
3.60E-02	5.82E-01	1.03E-01	2.96E+01	3.03E+01	2.97E+01
4.00E-02	4.97E-01	1.05E-01	2.24E+01	2.30E+01	2.25E+01
5.00E-02	3.53E-01	1.09E-01	1.24E+01	1.29E+01	1.25E+01
6.00E-02	2.64E-01	1.10E-01	7.55E+00	7.92E+00	7.66E+00
8.00E-02	1.63E-01	1.11E-01	3.40E+00	3.68E+00	3.51E+00
1.00E-01	1.10E-01	1.09E-01	1.82E+00	2.04E+00	1.93E+00
