Photon Energy (MeV)	Coherent Scattering (cm^2/g)	Incoherent Scattering (cm^2/g)	Photoelectric Absorption (cm^2/g)	Total Attenuation (cm^2/g) With Coherent Scattering	Total Attenuation (cm^2/g) Without Coherent Scattering								
1.00E-03	1.37E+00	1.32E-02	4.08E+03	4.08E+03	4.08E+03
1.50E-03	1.27E+00	2.67E-02	1.37E+03	1.38E+03	1.37E+03
2.00E-03	1.15E+00	4.18E-02	6.16E+02	6.17E+02	6.16E+02
3.00E-03	9.09E-01	7.08E-02	1.92E+02	1.93E+02	1.92E+02
4.00E-03	7.08E-01	9.43E-02	8.20E+01	8.28E+01	8.21E+01
5.00E-03	5.58E-01	1.12E-01	4.19E+01	4.26E+01	4.20E+01
6.00E-03	4.49E-01	1.26E-01	2.41E+01	2.46E+01	2.42E+01
8.00E-03	3.10E-01	1.44E-01	9.92E+00	1.04E+01	1.01E+01
1.00E-02	2.31E-01	1.55E-01	4.94E+00	5.33E+00	5.10E+00
1.50E-02	1.33E-01	1.70E-01	1.37E+00	1.67E+00	1.54E+00
2.00E-02	8.86E-02	1.77E-01	5.44E-01	8.10E-01	7.21E-01
3.00E-02	4.69E-02	1.83E-01	1.46E-01	3.76E-01	3.29E-01
4.00E-02	2.87E-02	1.83E-01	5.68E-02	2.68E-01	2.40E-01
5.00E-02	1.94E-02	1.80E-01	2.73E-02	2.27E-01	2.08E-01
6.00E-02	1.39E-02	1.77E-01	1.49E-02	2.06E-01	1.92E-01
8.00E-02	8.17E-03	1.70E-01	5.77E-03	1.84E-01	1.76E-01
1.00E-01	5.35E-03	1.63E-01	2.76E-03	1.71E-01	1.65E-01
